,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),GDP ($ per capita),Literacy (%),Arable (%),Birthrate,Deathrate,Temp C° 1961-1990,Country Code,precipitation mm/y 1992,precipitation mm/y 2002,precipitation mm/y 2014,renewable freshwater m3/capita 1992,renewable freshwater m3/capita 2002,renewable freshwater m3/capita 2014,annual water withdraw % 2002
94,India,ASIA,1095351995,3287590,333.2,2900.0,59.5,54.4,22.01,8.18,23.65,IND,1083.0,1083.0,1083.0,1590.22197624834,1322.5805050431698,1116.08160722025,42.2130013831259
95,Indonesia,ASIA,245452739,1919440,127.9,3200.0,87.9,11.32,20.34,6.25,25.85,IDN,2702.0,2702.0,2702.0,10754.2468382275,9288.83189387187,7913.643562062429,5.61168895492818
96,Iran,ASIA,68688433,1648000,41.7,7000.0,79.4,8.72,17.0,5.55,17.25,,,,,,,,
97,Iraq,NEAR EAST,26783383,437072,61.3,1500.0,40.4,13.15,31.98,5.37,21.4,IRQ,216.0,216.0,216.0,1912.7592671828,1411.84479221194,1022.9004452552,187.471590909091
98,Ireland,WESTERN EUROPE,4062235,70280,57.8,29600.0,98.0,15.2,14.45,7.82,9.3,IRL,1118.0,1118.0,1118.0,13770.1177204554,12462.0194524494,10520.123493368,
99,Isle of Man,WESTERN EUROPE,75441,572,131.9,21000.0,,9.0,11.05,11.19,,IMN,,,,,,,
100,Israel,NEAR EAST,6352117,20770,305.8,19800.0,95.4,16.39,17.97,6.18,19.2,ISR,435.0,435.0,435.0,146.398594573492,114.155251141553,91.28863030539092,205.733333333333
101,Italy,WESTERN EUROPE,58133509,301230,193.0,26700.0,98.6,27.79,8.72,10.4,13.45,ITA,832.0,832.0,832.0,3213.1929582937896,3198.4433237683197,3002.18098166877,24.701369863013703
102,Jamaica,LATIN AMER. & CARIB,2758124,10991,250.9,3900.0,87.9,16.07,20.82,6.52,24.95,JAM,2051.0,2051.0,2051.0,4396.49921639106,4018.05525383006,3763.30024040602,
103,Japan,ASIA,127463611,377835,337.4,28200.0,99.0,12.19,9.37,9.16,11.15,JPN,1668.0,1668.0,1668.0,3461.34960435969,3374.0044725175603,3378.48455325435,19.641860465116306
104,Jersey,WESTERN EUROPE,91084,116,785.2,24800.0,,0.0,9.3,9.28,,,,,,,,,
105,Jordan,NEAR EAST,5906760,92300,64.0,4300.0,91.3,2.67,21.25,2.65,18.3,JOR,111.0,111.0,111.0,171.457073383627,128.255614568183,76.4569791040386,108.22580645161301
106,Kazakhstan,C.W. OF IND. STATES,15233244,2717300,5.6,6300.0,98.4,7.98,16.0,9.42,6.4,KAZ,250.0,250.0,250.0,3914.449061824871,4330.72381705623,3722.17371474383,28.966588966588997
107,Kenya,SUB-SAHARAN AFRICA,34707817,582650,59.6,1000.0,85.1,8.08,39.72,14.02,24.75,KEN,630.0,630.0,630.0,817.3393448444722,613.3017323937,443.254998326445,
108,Kiribati,OCEANIA,105432,811,130.0,800.0,,2.74,30.65,8.26,28.2,KIR,630.0,630.0,,,,,
109,"Korea, North",ASIA,23113019,120540,191.8,1300.0,99.0,20.76,15.54,7.13,,,,,,,,,
110,"Korea, South",ASIA,48846823,98480,496.0,17800.0,97.9,17.18,10.0,5.85,,,,,,,,,
111,Kuwait,NEAR EAST,2418393,17820,135.7,19000.0,83.5,0.73,21.94,2.41,25.35,KWT,121.0,121.0,121.0,,0.0,0.0,
112,Kyrgyzstan,C.W. OF IND. STATES,5213898,198500,26.3,1600.0,97.0,7.3,22.8,7.08,1.55,,,,,,,,
113,Laos,ASIA,6368481,236800,26.9,1700.0,66.4,3.8,35.49,11.55,22.8,,,,,,,,
114,Latvia,BALTICS,2274735,64589,35.2,10200.0,99.8,29.67,9.24,13.66,5.6,LVA,641.0,641.0,641.0,6479.65182772847,7332.784168112091,8496.41535533975,1.44332939787485
